step,episode,waiting_time,co2_emission,reward
105,9,74.0,62.8713480768342,-289.38747028987103
110,9,51.0,92.7387779451728,-300.45587573504207
115,9,42.0,69.74751011847913,-308.9004799201764
120,9,104.0,80.85537956973964,-319.7436598087588
125,9,205.0,66.10249291625858,-332.8993840636092
130,9,448.0,94.78385379539705,-360.1561874989522
135,9,707.0,80.95035664261371,-392.10539204520427
140,9,425.0,62.78721723219051,-419.5921330245643
145,9,468.0,76.84978929074336,-446.1481448803469
150,9,130.0,81.46800009256641,-465.1298271872694
155,9,28.0,73.36981378074515,-474.12732128027034
160,9,177.0,88.28237498322943,-485.94786701617056
165,9,363.0,88.0575651988468,-508.2867019584585
170,9,276.0,85.20196640364166,-531.8213305277087
175,9,117.0,78.53521766516813,-548.282169339238
180,9,41.0,85.13305667905905,-559.163848870977
185,9,153.0,91.06355101299545,-571.3057303678992
190,9,99.0,75.61686228827301,-584.8360710967572
195,9,145.0,91.04714542742612,-596.4326853176634
